Serial,GRE Total,Verbal ,Quants,AWA,TOEFL,Gpa,Undergrad ,"Tier (1,2,3)",Work experience,publications,postgrad uni,GroupNew,Group,status
1,322,165,157,4,106,9.32,JU ,3,2,3,Rice University,A,2,Admit
2,322,165,157,4,106,9.32,JU ,3,2,3,Arizona State University,B,3,Admit
3,322,165,157,4,106,9.32,JU ,3,2,3,Texas A&M University,B,3,Admit
4,322,165,157,4,106,9.32,JU ,3,2,3,University of California Davis,A,1,Admit
5,322,165,157,4,106,9.32,JU ,3,2,3,University of Florida,B,3,Admit
6,322,165,157,4,106,9.32,JU ,3,2,3,University of Maryland,A,1,Admit
7,322,165,157,4,106,9.32,JU ,3,2,3,Rice University,A,2,Admit
8,325,162,163,4.5,117,8.7,NIT Trichy,3,0,2,Ohio State University,A,2,Admit
9,325,162,163,4.5,117,8.7,NIT Trichy,3,0,2,Carnegie Mellon University,A,1,Admit
10,325,162,163,4.5,117,8.7,NIT Trichy,3,0,2,University of Maryland,A,1,Admit
11,325,162,163,4.5,117,8.7,NIT Trichy,3,0,2,Purdue University,A,1,Admit
12,325,162,163,4.5,117,8.7,NIT Trichy,3,0,2,Duke University,A,1,Admit
13,320,160,160,4.5,117,9,University of Calcutta,2,0,1,Rensselaer Polytechnic Institute,B,3,Admit
14,320,160,160,4.5,117,9,University of Calcutta,2,0,1,Yale University,A,1,Admit
15,320,160,160,4.5,117,9,University of Calcutta,2,0,1,University of California Davis,A,1,Admit
16,320,160,160,4.5,117,9,University of Calcutta,2,0,1,Purdue University,A,1,Admit
17,320,160,160,4.5,117,9,University of Calcutta,2,0,1,Princeton University,A,1,Admit
18,320,160,160,4.5,117,9,University of Calcutta,2,0,1,University of Wisconsin Milwaukee,C,6,Admit
19,320,160,160,4.5,117,9,University of Calcutta,2,0,1,Yale University,A,1,Admit
20,327,163,164,4.5,118,9.52,JU,3,1,0,Carnegie Mellon University,A,1,Admit
21,327,163,164,4.5,118,9.52,JU,3,1,0,University of Texas Austin,A,1,Admit
22,327,163,164,4.5,118,9.52,JU,3,1,0,Johns Hopkins University,A,2,Reject
23,327,163,164,4.5,118,9.52,JU,3,1,0,University of Illinois Urbana  Champaign,A,1,Reject
24,327,163,164,4.5,118,9.52,JU,3,1,0,Stanford University,A,1,Admit
25,312,156,156,3.5,107,8.54,St. Xavier’s College,1,1,3,Carnegie Mellon University,A,1,Reject
26,316,153,163,3.5,109,8.45,NIT Durgapur,2,1,2,Michigan State University,B,3,Admit 
27,316,153,163,3.5,109,8.45,NIT Durgapur,2,1,2,Ohio State University,A,2,Admit 
28,316,153,163,3.5,109,8.45,NIT Durgapur,2,1,2,University of Massachusetts Amherst,A,2,Reject
29,316,153,163,3.5,109,8.45,NIT Durgapur,2,1,2,Michigan State University,B,3,Admit
30,325,160,165,4.5,116,8.97,JU,3,0,2,Rensselaer Polytechnic Institute,B,3,Admit
31,325,160,165,4.5,116,8.97,JU,3,0,2,University of North Carolina--Charlotte,C,5,Reject
32,325,160,165,4.5,116,8.97,JU,3,0,2,Iowa State University,B,3,Admit
33,325,160,165,4.5,116,8.97,JU,3,0,2,Rensselaer Polytechnic Institute,B,3,Admit
34,323,159,164,4,105,7.96,JU,3,0,2,Utah State University,C,6,Admit
35,323,159,164,4,105,7.96,JU,3,0,2,University of Iowa,B,4,Reject
36,323,159,164,4,105,7.96,JU,3,0,2,Stony Brook University,B,3,Admit
37,323,159,164,4,105,7.96,JU,3,0,2,University of Florida,B,3,Admit
38,323,159,164,4,105,7.96,JU,3,0,2,New York University,A,2,Admit
39,315,152,163,4,110,8.78,G H Patel College Of Engineering & Technology,1,0,0,Northwestern University,A,2,Reject
40,325,157,168,3,115,8.5,Gitam University,1,0,0,New York University,A,2,Admit
41,310,152,158,4,103,8.2,Alliance University,1,0,0,University of Massachusetts Amherst,A,2,Reject
42,320,156,164,4,116,5.6,Savitribai Phule Pune University,1,0,0,Texas A&M University,B,3,Reject
43,312,145,167,3.5,100,7.6,Sreenidhi Institute of Science and Technology,1,1,0,Virginia Tech University,A,2,Reject
44,302,146,156,4,79,6.22,"Sinhgad Institute Of Technology And Science, Narhe",1,0,0,Wright State University,C,9,Admit
45,310,144,166,3,92,8.59,"Shri guru govind singh college of engineering, nanded",1,0,0,Indiana University Bloomington,B,3,Reject
46,298,138,160,3.5,94,7.9,vignan's lara institute of science and techonology,1,1,0,University of North Carolina--Charlotte,C,5,Reject
47,327,157,170,4,113,9.31,Vellore Institute of Technology,2,0,0,University of California--San Diego,A,1,Admit
48,283,133,150,2.5,94,7.88,VR Siddhartha engineering college,1,0,0,University of California--Merced,C,6,Reject
49,324,155,169,4,109,8.26,IIT Kharagpur,3,1,0,University of North Carolina--Charlotte,C,5,Admit
50,316,151,165,4,110,8.02,Vivekanand Education Society's Institute Of Technology,1,0,0,New York University,A,2,Admit
51,319,155,164,4,113,5.8,Goa engineering college,1,1,0,University at Buffalo--SUNY,B,4,Admit
52,300,140,160,3,90,7.74,Charotar University Of Science And Technology,1,0,0,Illinois Institute of Technology,C,5,Admit
53,311,151,160,3,100,8.99,Ramrao Adik Institute of Technology,1,0,0,University of Illinois--Chicago,B,3,Admit
